"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"AP2010-10-01-22249"|"apnic"|"SG"|"ipv6"|"2001:df0:c6::"|48|2010-09-30|"assigned"|2010-10-01|2020-12-30|TRUE|"2001:df0:c6::-2001:df0:c6::2f"
"AP2010-10-01-22941"|"apnic"|"IN"|"ipv6"|"2404:a200::"|32|2010-09-30|"allocated"|2010-10-01|2020-12-30|TRUE|"2404:a200::/123"
"AP2010-10-02-22943"|"apnic"|"JP"|"ipv6"|"2404:a600::"|32|2010-10-01|"allocated"|2010-10-02|2020-12-30|TRUE|"2404:a600::/123"
"AP2010-10-02-22945"|"apnic"|"SG"|"ipv6"|"2404:aa00::"|32|2010-10-01|"allocated"|2010-10-02|2020-12-30|TRUE|"2404:aa00::/123"
"AP2010-10-03-22947"|"apnic"|"HK"|"ipv6"|"2404:ae00::"|32|2010-10-02|"allocated"|2010-10-03|2020-12-30|TRUE|"2404:ae00::/123"
"AP2010-10-06-22966"|"apnic"|"JP"|"ipv6"|"2404:b600::"|32|2010-10-05|"allocated"|2010-10-06|2020-12-30|TRUE|"2404:b600::/123"
"AP2010-10-06-22968"|"apnic"|"IN"|"ipv6"|"2404:ba00::"|32|2010-10-05|"allocated"|2010-10-06|2020-12-30|TRUE|"2404:ba00::/123"
"AP2010-10-06-22972"|"apnic"|"LA"|"ipv6"|"2404:c200::"|32|2010-10-05|"allocated"|2010-10-06|2020-12-30|TRUE|"2404:c200::/123"
"AP2010-10-07-22979"|"apnic"|"AU"|"ipv6"|"2404:c600::"|32|2010-10-05|"allocated"|2010-10-07|2020-12-30|TRUE|"2404:c600::/123"
"AP2010-10-07-22981"|"apnic"|"JP"|"ipv6"|"2404:ca00::"|32|2010-10-06|"allocated"|2010-10-07|2020-12-30|TRUE|"2404:ca00::/123"
"AP2010-10-07-22983"|"apnic"|"JP"|"ipv6"|"2404:ce00::"|32|2010-10-06|"allocated"|2010-10-07|2020-12-30|TRUE|"2404:ce00::/123"
"AP2010-10-09-22288"|"apnic"|"AU"|"ipv6"|"2001:df0:c7::"|48|2010-10-08|"assigned"|2010-10-09|2020-12-30|TRUE|"2001:df0:c7::-2001:df0:c7::2f"
"AP2010-10-12-23015"|"apnic"|"AU"|"ipv6"|"2404:d200::"|32|2010-10-11|"allocated"|2010-10-12|2020-12-30|TRUE|"2404:d200::/123"
